iter	Passed	Remaining
455	848	1012
456	850	1010
457	851	1007
458	853	1005
459	854	1003
460	857	1002
461	859	1000
462	860	998
463	862	996
464	863	993
465	865	991
466	866	989
467	868	987
468	870	985
469	874	985
470	875	983
471	877	981
472	880	980
473	881	978
474	883	976
475	885	974
476	887	973
477	889	971
478	891	970
479	893	968
480	896	966
481	898	965
482	899	963
483	901	961
484	903	959
485	905	957
486	907	955
487	908	953
488	910	951
489	911	949
490	913	947
491	915	945
492	917	943
493	919	942
494	921	940
495	923	937
496	924	935
497	926	933
498	927	931
499	929	929
500	930	927
501	933	925
502	935	924
503	936	921
504	938	919
505	939	917
506	941	915
507	942	913
508	944	911
509	946	909
510	949	908
511	951	906
512	953	904
513	954	902
514	956	900
515	957	898
516	959	896
517	960	894
518	963	892
519	965	890
520	966	888
521	968	886
522	970	884
523	971	882
524	972	880
525	974	878
526	975	875
527	978	874
528	980	872
529	983	871
530	984	869
531	986	868
532	988	866
533	990	864
534	993	863
535	995	861
536	1004	866
537	1006	864
538	1011	865
539	1013	863
540	1029	873
541	1033	873
542	1035	871
543	1037	869
544	1039	868
545	1044	868
546	1046	866
547	1048	864
548	1049	862
549	1051	860
550	1053	858
551	1056	857
552	1060	857
553	1062	855
554	1064	853
555	1067	852
556	1069	850
557	1074	851
558	1076	849
559	1078	847
560	1080	845
561	1082	843
562	1084	841
563	1086	839
564	1089	839
565	1100	843
566	1102	841
567	1105	840
568	1114	843
569	1116	841
570	1118	839
571	1125	841
572	1127	840
573	1129	838
574	1132	836
575	1135	835
576	1141	836
577	1143	834
578	1144	832
579	1149	832
580	1152	830
581	1155	830
582	1161	831
583	1164	829
584	1166	827
585	1168	825
586	1171	824
587	1175	823
588	1177	821
589	1179	819
590	1181	817
591	1185	817
592	1188	815
593	1190	813
594	1192	811
595	1208	819
596	1210	817
597	1212	815
598	1216	814
599	1218	812
600	1220	810
601	1222	808
602	1224	806
603	1231	807
604	1233	805
605	1236	803
606	1238	801
607	1240	799
608	1242	797
609	1247	797
610	1249	795
611	1251	793
612	1253	791
613	1255	789
614	1257	786
615	1261	786
616	1263	784
617	1265	782
618	1267	780
619	1270	778
620	1295	790
621	1297	788
622	1299	786
623	1300	783
624	1302	781
625	1304	779
626	1308	778
627	1311	776
628	1314	775
629	1316	773
630	1319	771
631	1332	776
632	1334	774
633	1339	773
634	1341	771
635	1343	768
636	1345	766
637	1347	764
638	1349	762
639	1353	761
640	1362	762
641	1364	760
642	1366	758
643	1370	757
644	1372	755
645	1374	752
646	1375	750
647	1378	748
648	1380	746
649	1382	744
650	1384	742
651	1386	740
652	1389	738
653	1391	736
654	1394	734
655	1399	733
656	1401	731
657	1402	729
658	1405	727
659	1407	724
660	1409	722
661	1411	720
662	1415	719
663	1417	717
664	1420	715
665	1422	713
666	1424	710
667	1426	708
668	1429	707
669	1432	705
670	1434	703
671	1436	701
672	1452	705
673	1454	703
674	1456	701
675	1458	698
676	1462	697
677	1464	695
678	1466	693
679	1468	691
680	1470	688
681	1472	686
682	1475	684
683	1477	682
684	1479	680
685	1481	678
686	1483	676
687	1485	673
688	1487	671
689	1497	672
690	1499	670
691	1502	668
692	1504	666
693	1508	665
694	1510	662
695	1512	660
696	1514	658
697	1516	656
698	1518	653
699	1520	651
700	1524	650
701	1526	648
702	1528	645
703	1530	643
704	1535	642
705	1539	641
706	1541	638
707	1543	636
708	1545	634
709	1547	632
710	1551	630
711	1556	629
712	1558	627
713	1560	625
714	1563	623
715	1565	621
716	1569	619
717	1571	617
718	1573	615
719	1576	613
720	1579	611
721	1582	609
722	1586	607
723	1588	605
724	1590	603
725	1595	602
726	1597	600
727	1604	599
728	1606	597
729	1608	594
730	1610	592
731	1617	592
732	1619	589
733	1621	587
734	1623	585
735	1625	582
736	1627	580
737	1629	578
738	1633	576
739	1635	574
740	1637	572
741	1639	569
742	1641	567
743	1643	565
744	1648	564
745	1651	562
746	1653	560
747	1655	557
748	1659	556
749	1672	557
750	1674	555
751	1681	554
752	1683	552
753	1686	550
754	1688	547
755	1690	545
756	1696	544
757	1698	542
758	1701	540
759	1703	537
760	1705	535
761	1706	533
762	1712	531
763	1718	530
764	1719	528
765	1732	529
766	1734	526
767	1736	524
768	1738	522
769	1743	520
770	1746	518
771	1749	516
772	1751	514
773	1757	513
774	1760	511
775	1762	508
776	1764	506
777	1766	504
778	1768	501
779	1783	502
780	1785	500
781	1789	498
782	1790	496
783	1792	493
784	1796	492
785	1798	489
786	1802	487
787	1815	488
788	1817	485
789	1821	484
790	1823	481
791	1825	479
792	1827	477
793	1829	474
794	1831	472
795	1834	470
796	1836	467
797	1839	465
798	1841	463
799	1843	460
800	1845	458
801	1847	456
802	1851	454
803	1853	451
804	1855	449
805	1857	447
806	1859	444
807	1861	442
808	1863	439
809	1867	438
810	1869	435
811	1871	433
812	1873	430
813	1875	428
814	1877	426
815	1881	424
816	1884	422
817	1885	419
818	1887	417
819	1889	414
820	1891	412
821	1894	410
822	1898	408
823	1900	405
824	1903	403
825	1905	401
826	1907	399
827	1909	396
828	1912	394
829	1914	392
830	1916	389
831	1918	387
832	1920	385
833	1922	382
834	1926	380
835	1929	378
836	1930	376
837	1932	373
838	1934	371
839	1937	369
840	1941	366
841	1943	364
842	1944	362
843	1946	359
844	1948	357
845	1953	355
846	1962	354
847	1964	352
848	1966	349
849	1968	347
850	1972	345
851	1975	343
852	1977	340
853	1979	338
854	1981	336
855	1983	333
856	1985	331
857	1989	329
858	1991	326
859	1994	324
860	1996	322
861	2013	322
862	2016	320
863	2020	318
864	2022	315
865	2024	313
866	2026	310
867	2028	308
868	2030	306
869	2032	303
870	2035	301
871	2037	299
872	2038	296
873	2040	294
874	2042	291
875	2049	290
876	2051	287
877	2054	285
878	2056	283
879	2058	280
880	2060	278
881	2062	275
882	2066	273
883	2069	271
884	2075	269
885	2077	267
886	2079	264
887	2081	262
888	2083	260
889	2085	257
890	2087	255
891	2089	252
892	2094	251
893	2097	248
894	2099	246
895	2100	243
896	2104	241
897	2106	239
898	2107	236
899	2109	234
900	2111	232
901	2113	229
902	2120	227
903	2123	225
904	2125	223
905	2127	220
906	2129	218
907	2132	216
908	2136	213
909	2138	211
910	2141	209
911	2143	206
912	2145	204
913	2146	202
914	2150	199
915	2157	197
916	2159	195
917	2162	193
918	2165	190
919	2168	188
920	2170	186
921	2172	183
922	2174	181
923	2176	179
924	2178	176
925	2191	175
926	2193	172
927	2196	170
928	2199	168
929	2200	165
930	2202	163
931	2204	160
932	2206	158
933	2208	156
934	2210	153
935	2213	151
936	2216	149
937	2219	146
938	2222	144
939	2234	142
940	2236	140
941	2238	137
942	2240	135
943	2242	133
944	2246	130
945	2249	128
946	2251	126
947	2255	123
948	2257	121
949	2263	119
950	2266	116
951	2269	114
952	2277	112
953	2279	109
954	2281	107
955	2283	105
956	2285	102
957	2287	100
958	2288	97
959	2292	95
960	2294	93
961	2295	90
962	2297	88
963	2298	85
964	2300	83
965	2302	81
966	2303	78
967	2306	76
968	2307	73
969	2309	71
970	2311	69
971	2312	66
972	2314	64
973	2316	61
974	2318	59
975	2319	57
976	2323	54
977	2325	52
978	2326	49
979	2328	47
980	2330	45
981	2331	42
982	2333	40
983	2335	37
984	2337	35
985	2339	33
986	2340	30
987	2342	28
988	2343	26
989	2345	23
990	2347	21
991	2348	18
992	2351	16
993	2353	14
994	2355	11
995	2357	9
996	2359	7
997	2361	4
998	2362	2
999	2364	0
